model,nodes,edges,elements,polygons,bonds,rigids,time
b3.s00000407__s00005809.tpn_0.json,28,31,59,7,0,1,1767219
b3.s00000415__s00005865.tpn_0.json,26,29,55,6,0,1,1551941
b3.s00000423__s00003205.tpn_0.json,47,56,103,13,0,1,3004371
b3.s00000427__s00004153.tpn_0.json,26,29,55,6,0,1,1501775
b3.s00000433__s00004148.tpn_0.json,24,27,51,5,0,1,1582566
b3.s00000435__s00006791.tpn_0.json,42,48,90,10,0,1,2700748
b3.s00000435__s00006791.tpn_1.json,26,28,54,6,0,1,1648085
b3.s00000437__s00006806.tpn_0.json,25,27,52,6,0,1,1538722
b3.s00000439__s00006822.tpn_0.json,40,44,84,10,0,1,2249748
b3.s00000455__s00003511.tpn_0.json,168,203,371,48,0,1,17556345
b3.s00000457__s00003506.tpn_0.json,59,74,133,16,0,1,4587348
b3.s00000459__s00003550.tpn_0.json,97,123,220,25,0,1,8045430
b3.s00000463__s00003563.tpn_0.json,40,44,84,10,0,1,2719304
b3.s00000463__s00003563.tpn_1.json,46,61,107,12,0,1,3668515
b3.s00000465__s00003583.tpn_0.json,68,84,152,20,0,1,5745516
b3.s00000465__s00003583.tpn_1.json,40,44,84,10,0,1,2761752
b3.s00000469__s00003601.tpn_0.json,116,184,300,33,0,1,12347465
